drug_name,Présentation,Dosage,Distributeur ou fabriquant,Composition,Classe thérapeutique,Statut,Code ATC,PPV,Prix hospitalier,Tableau,Notice en français,Nature du Produit,Indication(s),Substance (s) psychoactive (s),Princeps,Mises en garde,Contres-indication(s),Posologies et mode d'administration,Risque potentiel de dépendance ou d’abus,PPC,Boîte,Grossesse,Allaitement,Effets indésirable,Conservation,Lien du Produit,Laboratoire détenteur de l'AMM dans le pays d'origine,Age minimal d'utilisation,Particularité,AO,Export,Tiers Payant,Convention de Vienne,RCP,Liens de redirection,Notice en arabe
"ICIN 0.3 %, Collyre",Flacon compte goutte 5 ml,0.3 %,BOTTU S.A.,Ciprofloxacine,Antibiotiques de la famille des quinolones,Commercialisé,J01MA02,25.70 dhs,16.10 dhs,A,,Médicament,"Traitement anti-bactérien local des infections oculaires sévères:

Conjonctivites sévères

Kératites

Ulcères cornéens et abcès de cornée dues à des germes sensibles à la ciprofloxacine",,,,,1 à 2 goutes trois fois par jour,,,,,,,30 jours après ouverture du flacon,,,,,,,,,,,
"ICOMB, Collyre",Flacon de 5 ml,3 MG | 1 MG,BOTTU S.A.,Tobramycine | Dexaméthasone,Antibiotique de la famille des aminosides associé à un AIS,Commercialisé,S01CA01,28.30 dhs,17.70 dhs,A,,Médicament,"Traitement antibactérien local des conjonctivites, des kératites et des ulcères cornéens dus à des germes sensibles à la tobramycine chez l’adulte et l’enfant âgé de plus de 1 an.

Il convient de tenir compte des recommandations officielles concernant l'utilisation appropriée des antibactériens.",,,,,,,,,,,,30 jours après ouverture du flacon,,,,,,,,,,,
"ICTAVÈS 10 MG, Comprimé pelliculé",Boite de 30,10 MG,SOTHEMA,Rosuvastatine,"Hypolipémiant, inhibiteur de la HMG-CoA réductase",Commercialisé,C10AA07,154.10 dhs,96.30 dhs,A,,,"Adultes
Traitement de l'hypercholestérolémie
Hypercholestérolémie primaire (type IIa incluant les hypercholestérolémies familiales hétérozygotes) ou dyslipidémies mixtes (type IIb), en complément d'un régime lorsque la réponse au régime et aux autres traitements non pharmacologiques n'est pas suffisante.
En cas d'hypercholestérolémie familiale homozygote, en complément d'un régime et d'autres mesures à but hypolipémiant ou lorsque ces mesures ne sont pas appropriées.
Prévention des complications cardio-vasculaires
Rosuvastatine est utilisée pour réduire le risque d'événements cardio-vasculaires sévères chez les patients adultes présentant un taux normal de LDL-cholestérol, mais dont le risque de maladies cardio-vasculaires athéroscléreuses est accru en raison de l'âge (hommes ≥50 ans, femmes ≥60 ans), d'un taux accru de hsCRP (≥2,0 mg/l) et au moins d'un autre facteur de risque cardio-vasculaire tel qu'hypertension, tabagisme, faible taux de HDL-C ou antécédent familial de cardiopathie coronarienne prématurée.
Chez les patients hypercholestérolémiques, il est nécessaire de surveiller les valeurs lipidiques et de respecter les recommandations posologiques ci-dessous. Il est en outre nécessaire de traiter les autres causes connues de morbi-mortalité cardio-vasculaire conformément aux directives applicables.
Enfants et adolescents de 10 à 17 ans
Garçons et filles (au moins un an après la ménarche) souffrant d'hypercholestérolémie familiale hétérozygote, en complément d'un régime alimentaire, lorsque la réponse au rég",,,,,,,,,,,,,,,,,,,,,,,
"ICTAVÈS 20 MG, Comprimé pelliculé",Boite de 30,20 MG,SOTHEMA,Rosuvastatine,"Hypolipémiant, inhibiteur de la HMG-CoA réductase",Commercialisé,C10AA07,250.00 dhs,156.30 dhs,A,,,"Adulte
Traitement de l'hypercholestérolémie
Hypercholestérolémie primaire (type IIa incluant les hypercholestérolémies familiales hétérozygotes) ou dyslipidémies mixtes (type IIb), en complément d'un régime lorsque la réponse au régime et aux autres traitements non pharmacologiques n'est pas suffisante.
En cas d'hypercholestérolémie familiale homozygote, en complément d'un régime et d'autres mesures à but hypolipémiant ou lorsque ces mesures ne sont pas appropriées.
Prévention des complications cardio-vasculaires
Rosuvastatine est utilisée pour réduire le risque d'événements cardio-vasculaires sévères chez les patients adultes présentant un taux normal de LDL-cholestérol, mais dont le risque de maladies cardio-vasculaires athéroscléreuses est accru en raison de l'âge (hommes ≥50 ans, femmes ≥60 ans), d'un taux accru de hsCRP (≥2,0 mg/l) et au moins d'un autre facteur de risque cardio-vasculaire tel qu'hypertension, tabagisme, faible taux de HDL-C ou antécédent familial de cardiopathie coronarienne prématurée.
Chez les patients hypercholestérolémiques, il est nécessaire de surveiller les valeurs lipidiques et de respecter les recommandations posologiques ci-dessous. Il est en outre nécessaire de traiter les autres causes connues de morbi-mortalité cardio-vasculaire conformément aux directives applicables.
Enfants et adolescents de 10 à 17 ans
Garçons et filles (au moins un an après la ménarche) souffrant d'hypercholestérolémie familiale hétérozygote, en complément d'un régime alimentaire, lorsque la réponse au régime et aux autres mesures non pharmacologiques (p.ex. exercice physique, perte de poids) reste insuffisante.",,,,,,,,,,,,,,,,,,,,,,,
"ICTAVÈS 5 MG, Comprimé pelliculé",Boite de 30,5 MG,SOTHEMA,Rosuvastatine,"Hypolipémiant, inhibiteur de la HMG-CoA réductase",Commercialisé,C10AA07,106.50 dhs,66.60 dhs,A,,Médicament homéopathique,"Adultes
Traitement de l'hypercholestérolémie
Hypercholestérolémie primaire (type IIa incluant les hypercholestérolémies familiales hétérozygotes) ou dyslipidémies mixtes (type IIb), en complément d'un régime lorsque la réponse au régime et aux autres traitements non pharmacologiques n'est pas suffisante.
En cas d'hypercholestérolémie familiale homozygote, en complément d'un régime et d'autres mesures à but hypolipémiant ou lorsque ces mesures ne sont pas appropriées.
Prévention des complications cardio-vasculaires
Rosuvastatine est utilisée pour réduire le risque d'événements cardio-vasculaires sévères chez les patients adultes présentant un taux normal de LDL-cholestérol, mais dont le risque de maladies cardio-vasculaires athéroscléreuses est accru en raison de l'âge (hommes ≥50 ans, femmes ≥60 ans), d'un taux accru de hsCRP (≥2,0 mg/l) et au moins d'un autre facteur de risque cardio-vasculaire tel qu'hypertension, tabagisme, faible taux de HDL-C ou antécédent familial de cardiopathie coronarienne prématurée.
Chez les patients hypercholestérolémiques, il est nécessaire de surveiller les valeurs lipidiques et de respecter les recommandations posologiques ci-dessous. Il est en outre nécessaire de traiter les autres causes connues de morbi-mortalité cardio-vasculaire conformément aux directives applicables.
Enfants et adolescents de 10 à 17 ans
Garçons et filles (au moins un an après la ménarche) souffrant d'hypercholestérolémie familiale hétérozygote, en complément d'un régime alimentaire, lorsque la réponse au régime et aux autres mesures non pharmacologiques (p.ex. exercice physique, perte de poids) reste insuffisante.",,,,,,,,,,,,,,,,,,,,,,,
"IDEOS 500 MG / 400 UI, Comprimé à croquer ou à sucer",Boite de 30,500 MG | 400 UI,MAPHAR,Calcium carbonate | Cholécalciférol,Minéral et vitamine,Commercialisé,A12AX,40.70 dhs,25.50 dhs,Aucun,,Médicament,"IDEOS est indiqué uniquement chez les adultes

- Pour la correction des carences combinées Vitamine D-Calcium chez les sujets âgés.
- Comme apport Vitamino D-Calcique associé aux traitements spécifiques de l'ostéoporose chez les patients carencés ou à haut risque de carence combinée Vitamine D-Calcium.",,Oui,,,,,,,,,,,,,,,,,,,,,
"IDOL 100 MG, Suppositoire",Boîte de 20,100 MG,IBERMA,Indométacine,Anti-inflammatoire non stéroïdien,Commercialisé,M01AB01,34.50 dhs,21.60 dhs,A,Cliquez ici,Médicament,"Elles procèdent de l'activité anti-inflammatoire de l'indométacine, de l'importance des manifestations d'intolérance auxquelles le médicament donne lieu et de sa place dans l'éventail des produits anti-inflammatoires actuellement disponibles.

Elles sont limitées, chez l'adulte (plus de 15 ans), au :
- traitement symptomatique au long cours:

- des rhumatismes inflammatoires chroniques, notamment polyarthrite rhumatoïde, spondylarthrite ankylosante,
- de certaines arthroses invalidantes et douloureuses;
- traitement symptomatique de courte durée des poussées aiguës de:

- rhumatismes abarticulaires (péri-arthrites scapulo-humérale, tendinites, bursites),
- arthrites microcristallines,
- radiculalgies sévères,
- arthroses.",,,,,,,,,,,,,,,,,,,,,,,
"IDOL 100 MG, Suppositoire",Boîte de 10,100 MG,IBERMA,Indométacine,Anti-inflammatoire non stéroïdien,Commercialisé,M01AB01,18.60 dhs,11.60 dhs,A,,Médicament,"Elles procèdent de l'activité anti-inflammatoire de l'indométacine, de l'importance des manifestations d'intolérance auxquelles le médicament donne lieu et de sa place dans l'éventail des produits anti-inflammatoires actuellement disponibles.

Elles sont limitées, chez l'adulte (plus de 15 ans), au :
- traitement symptomatique au long cours:

- des rhumatismes inflammatoires chroniques, notamment polyarthrite rhumatoïde, spondylarthrite ankylosante,
- de certaines arthroses invalidantes et douloureuses;
- traitement symptomatique de courte durée des poussées aiguës de:

- rhumatismes abarticulaires (péri-arthrites scapulo-humérale, tendinites, bursites),
- arthrites microcristallines,
- radiculalgies sévères,
- arthroses.",,,,,,,,,,,,,,,,,,,,,,,
"Ig VENA 50 MG / ML, Solution pour perfusion IV",Flacon de 50 ML,50 MG / ML,PHARMA5,Immunoglobuline humaine normale (IgG),,Commercialisé,JO6BA02,1539.00 dhs,1275.00 dhs,Aucun,,,"Traitement de substitution chez les adultes, les enfants et les adolescents (0 - 18 ans) dans :
Déficits immunitaires primitifs (DIP) avec altération de la production d’anticorps,
Déficits immunitaires secondaires (DIS) chez les patients présentant des infections sévères ou récurrentes, dont le traitement antimicrobien est inefficace et qui présentent une insuffisance prouvée en anticorps spécifiques (PSAF, proven specific antibody failure)* ou un taux d’IgG sérique <4 g/l.
*PSAF = incapacité à atteindre une augmentation d’au moins deux fois le titre d’anticorps IgG avec les vaccins à polysaccharides pneumococciques et antigènes polypeptidiques.

Effet immunomodulateur chez les adultes, les enfants et les adolescents (0 - 18 ans) dans :
Thrombocytopénie immunologique primaire (TIP) chez les patients présentant un haut risque hémorragique, ou préalablement à une intervention chirurgicale pour normaliser le taux de plaquettes,
Syndrome de Guillain-Barré,
Maladie de Kawasaki (en association avec l’acide acétylsalicylique ; voir rubrique 4.2 du RCP),
Polyradiculoneuropathies inflammatoires démyélinisantes chroniques (PIDC),
Neuropathie motrice multifocale (NMM)",,,,,,,,,,,,,,,,,,,,,,,
"Ig VENA 50 MG / ML, Solution pour perfusion IV",Flacon de 200 ML,50 MG / ML,PHARMA5,Immunoglobuline humaine normale (IgG),,Commercialisé,JO6BA02,5301.00 dhs,5045.00 dhs,,,,"Traitement de substitution chez les adultes, les enfants et les adolescents (0 - 18 ans) dans :
Déficits immunitaires primitifs (DIP) avec altération de la production d’anticorps,
Déficits immunitaires secondaires (DIS) chez les patients présentant des infections sévères ou récurrentes, dont le traitement antimicrobien est inefficace et qui présentent une insuffisance prouvée en anticorps spécifiques (PSAF, proven specific antibody failure)* ou un taux d’IgG sérique <4 g/l.
*PSAF = incapacité à atteindre une augmentation d’au moins deux fois le titre d’anticorps IgG avec les vaccins à polysaccharides pneumococciques et antigènes polypeptidiques.

Effet immunomodulateur chez les adultes, les enfants et les adolescents (0 - 18 ans) dans :
Thrombocytopénie immunologique primaire (TIP) chez les patients présentant un haut risque hémorragique, ou préalablement à une intervention chirurgicale pour normaliser le taux de plaquettes,
Syndrome de Guillain-Barré,
Maladie de Kawasaki (en association avec l’acide acétylsalicylique ; voir rubrique 4.2 du RCP),
Polyradiculoneuropathies inflammatoires démyélinisantes chroniques (PIDC),
Neuropathie motrice multifocale (NMM)",,,,,,,,,,,,,,,,,,,,,,,
"Ig VENA 50 MG / ML, Solution pour perfusion IV",Boite de 1 flacon de 100 ML,50 MG / ML,PHARMA5,Immunoglobuline humaine normale (IgG),,Commercialisé,JO6BA02,2850.00 dhs,2523.00 dhs,,,,"Traitement de substitution chez les adultes, les enfants et les adolescents (0 - 18 ans) dans :
Déficits immunitaires primitifs (DIP) avec altération de la production d’anticorps,
Déficits immunitaires secondaires (DIS) chez les patients présentant des infections sévères ou récurrentes, dont le traitement antimicrobien est inefficace et qui présentent une insuffisance prouvée en anticorps spécifiques (PSAF, proven specific antibody failure)* ou un taux d’IgG sérique <4 g/l.
*PSAF = incapacité à atteindre une augmentation d’au moins deux fois le titre d’anticorps IgG avec les vaccins à polysaccharides pneumococciques et antigènes polypeptidiques.

Effet immunomodulateur chez les adultes, les enfants et les adolescents (0 - 18 ans) dans :
Thrombocytopénie immunologique primaire (TIP) chez les patients présentant un haut risque hémorragique, ou préalablement à une intervention chirurgicale pour normaliser le taux de plaquettes,
Syndrome de Guillain-Barré,
Maladie de Kawasaki (en association avec l’acide acétylsalicylique ; voir rubrique 4.2 du RCP),
Polyradiculoneuropathies inflammatoires démyélinisantes chroniques (PIDC),
Neuropathie motrice multifocale (NMM)",,,,,,,,,,,,,,,,,,,,,,,
"IMAGOS 4 MG / 5 ML, Solution à diluer pour perfusion",Boite de 4 flacons de 5 ML,,SOTHEMA,Acide zolédronique,"Médicaments pour le traitement de maladies osseuses, bisphosphonate.",Commercialisé,M05BA08,3570.00 dhs,3263.00 dhs,A,,,"La substance active contenue est l’acide zolédronique qui appartient à un groupe de substances appelées bisphosphonates.

L’acide zolédronique agit en s’attachant à l’os et en ralentissant le taux de renouvellement osseux. Il est utilisé :

- pour prévenir les complications osseuses, ex. fractures, chez les patients adultes ayant des métastases osseuses (diffusion du cancer du site principal à l’os) ;

- pour diminuer le taux de calcium dans le sang des patients adultes lorsque celui-ci est élevé en raison de la présence d’une tumeur. Les tumeurs peuvent accélérer le renouvellement osseux habituel de sorte que la quantité de calcium libéré par l’os est augmentée. Cette pathologie est appelée hypercalcémie induite par les tumeurs.",,,,,,,,,,,,,,,,,Oui,,,,,,
"IMAGOS 4 MG / 5 ML, Solution à diluer pour perfusion",Boite d'un flacon de 5 ml,4 MG / 5 ML,SOTHEMA,Acide zolédronique,"Médicaments pour le traitement de maladies osseuses, bisphosphonate.",Commercialisé,M05BA08,1290.00 dhs,1019.00 dhs,A,,,"La substance active contenue est l’acide zolédronique qui appartient à un groupe de substances appelées bisphosphonates.

L’acide zolédronique agit en s’attachant à l’os et en ralentissant le taux de renouvellement osseux. Il est utilisé :

- pour prévenir les complications osseuses, ex. fractures, chez les patients adultes ayant des métastases osseuses (diffusion du cancer du site principal à l’os) ;

- pour diminuer le taux de calcium dans le sang des patients adultes lorsque celui-ci est élevé en raison de la présence d’une tumeur. Les tumeurs peuvent accélérer le renouvellement osseux habituel de sorte que la quantité de calcium libéré par l’os est augmentée. Cette pathologie est appelée hypercalcémie induite par les tumeurs.",,,,,,,,,,,,,,,,,Oui,,,,,,
"IMATEC 100 MG, Gélule",Boîte de 120,100 MG,PHI,Imatinib,ANTINEOPLASIQUE CYTOTOXIQUE,Commercialisé,L01XE01,3503.00 dhs,3194.00 dhs,A,,Médicament,"L’imatinib est indiqué dans le traitement :
• des patients adultes et enfants atteints de leucémie myéloïde chronique (LMC) chromosome Philadelphie (bcr-abl) positive (Ph+) nouvellement diagnostiquée lorsque la greffe de moelle osseuse ne peut être envisagée comme un traitement de première intention.
• des patients adultes et enfants atteints de LMC Ph+ en phase chronique après échec du traitement par l’interféron alpha, ou en phase accélérée ou en crise blastique.
• des patients adultes et enfants atteints de leucémie aiguë lymphoïde chromosome Philadelphie positive (LAL Ph+) nouvellement diagnostiquée en association avec la chimiothérapie.
• des patients adultes atteints de LAL Ph+ réfractaire ou en rechute en monothérapie.
• des patients adultes atteints de syndromes myélodysplasiques/myéloprolifératifs (SMD/SMP) associés à des réarrangements du gène du PDGFR (platelet-derived growth factor receptor).
• des patients adultes atteints d’un syndrome hyperéosinophilique (SHE) à un stade avancé et/ou d’une leucémie chronique à éosinophiles (LCE) associés à un réarrangement du FIP1L1- PDGFR. L’effet de l’imatinib sur l’issue d’une greffe de moelle osseuse n’a pas été évalué. L’imatinib est indiqué dans
• le traitement des patients adultes atteints de tumeurs stromales gastro-intestinales (GIST - gastrointestinal stromal tumours) malignes Kit (CD 117) positives non résécables et/ou métastatiques.
• le traitement adjuvant des patients adultes présentant un risque significatif de rechute après résection d’une tumeur stromale gastro-intestinale GIST Kit (CD117) positive. Les patients qui présentent un faible ou très faible risque ne doivent pas être traités.
• le traitement des patients adultes atteints de dermatofibrosarcome protuberans (DFSP ou maladie de Darier-Ferrand) non résécable et patients adultes atteints de DFSP en rechute et/ou métastatique ne relevant pas d’un traitement chirurgical. Chez l’adulte et les patients pédiatriques, l’efficacité de l’imatinib est basée sur les taux de réponses hématologiques et cytogénétiques globales et la survie sans progression dans la LMC, sur les taux de réponses hématologique et cytogénétique des LAL Ph+, des SMD/SMP, sur les taux de réponses hématologiques des SHE/LCE et sur les taux de réponses objectives des patients adultes dans les GIST résecables et/ou métastatiques et les DFSP et la survie sans rechute dans le traitement adjuvant des GIST. L’expérience avec l’imatinib chez les patients atteints de SMD/SMP associés à des réarrangements du gène du PDGFR est très limitée. À l’exception de la LMC en phase chronique nouvellement diagnostiquée, il n’existe pas d’étude clinique contrôlée démontrant un bénéfice clinique ou une prolongation de la durée de vie, pour ces maladies.",,,,,,,,,,,,,,,,,,,Oui,,,,
